Report,Geography,Segment,Variety,Type,Data Year,Timeframe,PLU,Period,Prior Year Week Ending,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance,Dollar Sales Velocity Prior Year,Dollar Sales Velocity Current Year,Dollar Sales Velocity Variance
Category,Denver,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,296850.6368,623281.9856,1.099648471,786739.4049,1612847.941,1.050040879,2.650287072,2.587669752,-0.023626618,52.2271836,86.03242729,0.64727296
Category,Denver,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,3383983.614,2997460.923,-0.114221206,2707081.742,3478525.592,0.284972499,0.799968927,1.160490722,0.450669748,259.1253268,292.3817891,0.128341227
Category,Denver,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,14105210.26,11687821.66,-0.17138267,13757967.7,16031058.43,0.16521995,0.975381965,1.371603613,0.406222037,749.334137,864.7265178,0.153993226
Category,Denver,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,357558.0682,422544.2859,0.181750108,521047.1253,817158.0885,0.568299774,1.457237779,1.933899276,0.327099327,28.69840697,44.05457228,0.535087726
Category,Denver,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,21118.83508,13769.47905,-0.348000067,38620.77592,29968.46551,-0.224032537,1.828736091,2.176441491,0.190134269,2.817935905,2.14020659,-0.240505582
Category,Denver,Avocados,Hass,Organic,2022,Quarterly,94770,1,2021-04-04,2022-04-03,0,92.50099354,,0,261.1049904,,,2.822726334,,0,0.262457851,
Category,Denver,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,389084.5532,320902.8931,-0.175236101,394272.8823,381943.0941,-0.03127222,1.013334708,1.190213932,0.174551628,27.77688305,24.68787186,-0.111207985
Category,Denver,Avocados,Hass,Organic,2022,Quarterly,Total Organic Hass,1,2021-04-04,2022-04-03,767761.4566,757309.159,-0.013613991,953940.7834,1229330.753,0.288686651,1.242496319,1.623287846,0.306472962,54.00888139,66.01989266,0.222389558
Category,Denver,Total Produce,Total Produce,Total Produce,2022,Quarterly,Total Produce,1,2021-04-04,2022-04-03,365519032.3,332562163.5,-0.090164577,296732167.1,307239726.5,0.035410921,0.811810442,0.92385653,0.138020014,16010.32556,16316.88408,0.019147551
Category,Denver,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,4356353.416,5036115.969,0.15603935,3537380.75,5505657.818,0.556422168,0.812004999,1.093234916,0.34634013,188.5523114,290.6038662,0.541237358
Category,Detroit,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,7544936.421,7307884.506,-0.031418676,7218358.136,8298532.163,0.149642621,0.956715568,1.135558746,0.186934532,411.8409974,466.1649821,0.131905238
Category,Detroit,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,7544936.421,7307884.506,-0.031418676,7218358.136,8298532.163,0.149642621,0.956715568,1.135558746,0.186934532,411.8409974,466.1649821,0.131905238
Category,Detroit,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,2497275.149,626560.2552,-0.749102435,2614646.144,1184288.942,-0.547055748,1.046999625,1.890143737,0.805295525,180.7079249,75.74694557,-0.580832188
Category,Detroit,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,954168.776,452390.9506,-0.525879528,1334071.849,976835.1611,-0.267779197,1.398150812,2.159272107,0.544377107,82.69726441,62.73151443,-0.241431807
Category,Detroit,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,1562058.556,1398931.124,-0.104431061,1109429.401,1391072.495,0.253863017,0.710235475,0.994382405,0.400074257,80.50185081,90.11335913,0.119394874
Category,Detroit,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,7120041.243,6907165.508,-0.029898104,6716580.484,7718925.112,0.149234366,0.943334491,1.117524273,0.184653252,383.4240675,433.7750113,0.131319205
Category,Detroit,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,21515.11044,11961.0857,-0.444061153,37073.14495,26433.77186,-0.286983289,1.723121294,2.209980977,0.282545219,3.766282284,2.817150643,-0.252007569
Category,Detroit,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,99132.95438,67362.72224,-0.320481038,174581.2487,153636.9212,-0.119968941,1.76108187,2.280740981,0.295079473,18.72937173,16.74382341,-0.106012543
Category,Detroit,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,304247.1136,321395.1905,0.056362332,290123.2582,399536.3582,0.377126262,0.953577685,1.243131105,0.303649534,22.42302061,24.89475863,0.110232161
